"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C8,C10,C13,C14,C15,C16,C18,C20,C21","12","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4,C7,C12","4","10u","","","","My_Library:T491A","~"
"C6,C11,C19,C22","4","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","4u7","","","","My_Library:T491A","~"
"C17","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"F1","1","0ZCH0110AF2E","","","","My_Library:FUSC3226X100N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zch-series.pdf"
"J1","1","SS-52400-003","","","","My_Library:BELFUSE_SS-52400-003",""
"J2","1","B2B-PH-SM4-TB","","","","My_Library:JST_B2B-PH-SM4-TB",""
"J3","1","GSD090012SEU","","","","My_Library:AMPHENOL_GSD090012SEU",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"LED1,LED4,LED6","3","LTST-C170KRKT","","","","My_Library:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf"
"LED2","1","LTST-C170TBKT","","","","My_Library:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170TBKT.pdf"
"LED3,LED5","2","LTST-C170GKT","","","","My_Library:LEDC2012X120N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/895/LTST-C170GKT.pdf"
"MK1","1","CMC-5042PF-AC","","","","My_Library:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","My_Library:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R2,R19,R21,R26,R28,R30,R33,R34","9","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R9,R10,R14,R18","6","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","22k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","47k5","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R16,R17,R20","4","50","","","","Resistor_SMD:R_0805_2012Metric","~"
"R23","1","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R24,R25","2","4k7","","","","Resistor_SMD:R_0805_2012Metric","~"
"R27,R29","2","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R31","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"S1","1","BOOT","","","","My_Library:SW_USLPT2819DT2TR",""
"S2","1","RESET","","","","My_Library:SW_USLPT2819DT2TR",""
"TP1","1","Test MOSI","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","1","Test MISO","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","1","Test SCLK","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","1","Test CS_SD","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP5","1","Test CS","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","BME280","","","","My_Library:PSON65P250X250X100-8N",""
"U3","1","ESP32-C3-WROOM-02-H4","","","","My_Library:MODULE_ESP32-C3-WROOM-02-H4",""
"U4","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","W25Q32JVSSIQ","","","","My_Library:SOIC127P790X216-8N",""
"U7","1","MAX4466EXK","","","","My_Library:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","My_Library:VREG_LM1117MPX-3.3",""
